"","ZIP","AGE.SEX","Death"
"769",90057,1,3.33333333333333
"770",90057,2,0
"771",90057,3,8.33333333333333
"772",90057,4,10.3333333333333
"773",90057,5,25.3333333333333
"774",90057,6,24.3333333333333
"775",90057,7,20.6666666666667
"776",90057,8,33
"777",90057,9,2
"778",90057,10,0
"779",90057,11,2
"780",90057,12,3.33333333333333
"781",90057,13,14.3333333333333
"782",90057,14,11.6666666666667
"783",90057,15,16.3333333333333
"784",90057,16,49
"785",90058,1,0.333333333333333
"786",90058,2,0
"787",90058,3,0.333333333333333
"788",90058,4,1
"789",90058,5,1
"790",90058,6,2
"791",90058,7,1.66666666666667
"792",90058,8,1
"793",90058,9,0.333333333333333
"794",90058,10,0
"795",90058,11,0
"796",90058,12,0.333333333333333
"797",90058,13,0.666666666666667
"798",90058,14,1.33333333333333
"799",90058,15,1.33333333333333
"800",90058,16,2
"801",90059,1,3.66666666666667
"802",90059,2,0.666666666666667
"803",90059,3,11.6666666666667
"804",90059,4,13
"805",90059,5,25.3333333333333
"806",90059,6,21.6666666666667
"807",90059,7,15.3333333333333
"808",90059,8,23.3333333333333
"809",90059,9,3
"810",90059,10,0.333333333333333
"811",90059,11,1
"812",90059,12,7
"813",90059,13,20.6666666666667
"814",90059,14,19.3333333333333
"815",90059,15,18.6666666666667
"816",90059,16,45.6666666666667
"817",90061,1,3.33333333333333
"818",90061,2,0
"819",90061,3,8.33333333333333
"820",90061,4,7
"821",90061,5,16.3333333333333
"822",90061,6,17.6666666666667
"823",90061,7,17
"824",90061,8,21.3333333333333
"825",90061,9,1.33333333333333
"826",90061,10,0
"827",90061,11,1
"828",90061,12,2
"829",90061,13,13.6666666666667
"830",90061,14,11
"831",90061,15,13.3333333333333
"832",90061,16,33
"833",90062,1,2
"834",90062,2,0.666666666666667
"835",90062,3,7
"836",90062,4,9.33333333333333
"837",90062,5,23.3333333333333
"838",90062,6,16.6666666666667
"839",90062,7,17.3333333333333
"840",90062,8,26.3333333333333
"841",90062,9,1
"842",90062,10,0
"843",90062,11,1.33333333333333
"844",90062,12,4
"845",90062,13,14.6666666666667
"846",90062,14,13.3333333333333
"847",90062,15,18.3333333333333
"848",90062,16,50.6666666666667
"849",90063,1,5.33333333333333
"850",90063,2,1
"851",90063,3,11
"852",90063,4,11.6666666666667
"853",90063,5,22.3333333333333
"854",90063,6,20
